,Time,buzz
0,2021-04-22,1100
1,2021-04-23,986
2,2021-09-02,1345
3,2021-11-04,995
4,2021-11-07,1321
5,2021-11-08,1799
6,2022-03-30,885
7,2022-03-31,1338
8,2022-04-22,2308
9,2022-04-23,973
10,2022-06-28,1157
11,2022-06-29,2093
12,2022-06-30,1304
13,2022-07-01,881
14,2022-10-12,931
15,2022-10-13,1386
16,2023-04-06,1463
17,2023-04-07,924
18,2023-11-15,927
